Sie lachte mich aus.	She laughed at me.
Sie macht das ständig.	She does this all the time.
Ich kann nicht kochen.	I don't know how to cook.
Er betrat mein Zimmer.	He entered my room.
Die Zeit wird knapp.	Time is getting short.
Wie schön sie singt!	How beautifully she sings!
Ich bin mir ziemlich sicher.	I am pretty sure.
Man ließ ihn lange warten.	He was kept waiting for a long time.
Du bist zu jung zum Sterben.	You're too young to die.
Die Studenten sind zurück.	The students are back.
Er half der Dame ins Auto.	He helped the lady into the car.
Sie wurden gute Freunde.	They got to be good friends.
Er wird bestimmt kommen.	He will come all right.
Man muss selbst denken.	You must think by yourselves.
Ich bade jeden Tag.	I take a bath every day.
Du gehst besser.	You'd better leave.
Du machst kaum Fehler.	You make hardly any mistakes.
Er geht gerne laufen.	He likes to run.
Ich will nach Japan.	I wanna go to Japan.
Willst du es hören?	Do you want to hear it?
Wie trinkst du deinen Kaffee?	How do you take your coffee?
Ich bin für Ihren Vorschlag.	I am in favor of your proposal.
Wir kommen zurück.	We're coming back!
Niemand kann alles wissen.	Nobody can know everything.
Ihr Kuchen schmeckt gut.	Your cake is delicious.
Er schwimmt im Fluss.	He is swimming in the river.
Warum bin ich hier?	Why am I here?
Soll ich die Polizei rufen?	Do you want me to call the police?
Er bat seinen Freund um Rat.	He asked his friend for advice.
Ich bin hier beschäftigt.	I'm busy here.
Er hat selbst Schuld.	It was his own fault.
Ich mag Kuchen.	I like cake.
Sie war auch überrascht.	She was surprised too.
Hast du etwas Wein?	Do you have some wine?
Er warf den Brief ins Feuer.	He threw the letter into the fire.
Bei ihm bist du sicher.	You'll be safe with him.
Sprechen Sie, bitte.	Speak, please.
Das würde ihnen gefallen.	They'd like that.
Brüder habe ich keine.	I don't have any brothers.
Er badet jeden Morgen.	He has a bath every morning.
Ich lerne gern dazu.	I like to learn new things.
Ich dachte, er würde kommen.	I thought he would come.
Setzen Sie Ihre Brille auf!	Put your glasses on.
Bringt mir etwas zu essen.	Bring me something to eat.
Kannst du gut schwimmen?	Can you swim well?
Du kannst ihm vertrauen.	You can trust him.
Ich bin dafür bereit.	I'm game for it.
Er tut es richtig.	He's doing it right.
Was wollen Sie mich fragen?	What do you want to ask me?
Wann warst du in Boston?	When were you in Boston?
Ich verlasse dich morgen.	I'm leaving you tomorrow.
Sie sind meine Brüder.	They are my brothers.
Ich täte dir das nicht an.	I wouldn't do that to you.
Du stehst mir im Licht.	You're blocking my light.
Was möchten Sie?	What do you want?
Können Sie uns hören?	Can you hear us?
Ich mag meinen Kaffee stark.	I like my coffee strong.
Seid euch nicht so sicher!	Don't be so sure.
Sie eilte an sein Bett.	She came hurrying to his bedside.
Wer hieß dich, das zu tun?	Who told you to do that?
Ich lasse dich nicht zurück.	I won't leave you behind.
Diese Bücher gehören ihnen.	Those books are theirs.
Sie können mich verstehen.	You can understand me.
Reden Sie nicht so laut!	Don't talk so loud.
Wir vermissen dich sehr.	We miss you very much.
Ich hasse diese Musik.	I hate this music.
Das sind meine Brüder.	They are my brothers.
Sehe ich das richtig?	Am I correct in thinking thus?
Mir passt jede Zeit.	Any time will suit me.
Wir waren Freunde.	We were friends.
Es kann nicht lange halten.	It cannot last long.
Ich hatte keinen Hunger.	I wasn't hungry.
Versucht es noch mal.	Try again.
Es war alles umsonst!	It was all in vain!
Sie essen viel Reis.	They eat a lot of rice.
Ich habe dich lachen gehört.	I heard you laughing.
Wie lange muss ich bleiben?	How long do I have to stay?
Wo gehen sie jetzt hin?	Where are they going to right now?
Er beobachtet mich.	He's watching me.
Das erklärt es.	It accounts for the fact.
Sind sie neu?	Are they new?
Diesen Witz kenne ich.	I know this joke.
Wir sind gegen Krieg.	We are against war.
Der Braune gehört auch mir.	That brown one is mine, too.
Jeder von uns könnte das.	Any one of us could do it.
Er sagte, es tue ihm leid.	He said he was sorry.
Sie arbeiten gut zusammen.	They make a great team.
Macht Geld glücklich?	Does money bring happiness?
Du hältst doch Wort?	You will keep your word, won't you?
Ich träume nicht.	I don't dream.
Er rannte.	He did run.
Ich muss mein Bestes geben.	I have to do my best.
Mögen Sie diesen Garten?	Do you like this garden?
Ich schlafe nie aus.	I never sleep in.
Sie werden sehr froh sein.	They will be very glad.
Darf ich ins Bett gehen?	May I go to bed?
Er raucht nicht.	He does not smoke.
Ich helfe dir.	I'm helping you.
Warum bist du hier?	What are you here for?
Wie oft gehst du schwimmen?	How often do you go swimming?
Komm wann immer es dir passt.	Come whenever it is convenient to you.
Sie lebt am Arsch der Welt.	She is living in the middle of nowhere.
Er lehrt uns Englisch.	He teaches us English.
Warte nicht!	Don't wait!
Sie kam nackt aus der Dusche.	She came out of the shower naked.
Viel Spaß bei der Reise!	Enjoy your trip.
Wie viele Fragen gibt es?	How many questions are there?
Arbeitest du hier?	Do you work here?
Ich liebe Schnee.	I love snow.
Er macht gerne Fotos.	She likes taking pictures.
Dafür sind Freunde doch da.	That's what friends are for.
Ich legte also das Buch weg.	So I put the book away.
Ich bin noch nicht ganz wach.	I'm not wide awake yet.
Machen Sie ihm bitte Platz!	Please make way for him.
Diese Musik gefällt mir.	I like this music.
Ihr solltet mehr essen.	You should eat more.
Tut mehr Wasser dazu!	Add more water to it.
Sei nicht verrückt.	Don't be crazy.
Du darfst gehen.	You are allowed to go.
Ich denke, du irrst dich.	I think that you're wrong.
Ich war den Tränen nahe.	I was almost in tears.
Vielleicht hatte er recht.	He may have been right.
Alles lief nach Plan.	Everything went according to plan.
Sie badet das Baby.	She is giving the baby a bath.
Er drehte sich um.	He turned around.
Letzte Nacht war es heiß.	It was hot last night.
Wie geht es eurer Mutter?	How's your mother?
Willst du da wieder hin?	Do you want to go again?
Ich bin dabei!	Count me in.
Ich bin dabei.	I'm game.
Ich will Sex mit ihr haben.	I want to have sex with her.
Du hast alle überrascht.	You surprised everybody.
Ihr verkauft uns Fisch.	You sell us fish.
Schaut euch dieses Bild an.	Look at that picture.
Warum hat er so etwas getan?	Why did he do such a thing?
Kommt zurück nach Hause.	Come back home.
Sie sagen, er sei krank.	They say he's sick.
Drei mal drei gibt neun.	Three times three is nine.
Sein Traum wurde wahr.	His dream came true.
Ich habe zwei Katzen.	I have two cats.
Kann ich dir helfen?	Can I help you?
Ich werde dich vermissen.	I'll miss you.
Ich kenne die Wahrheit.	I know the truth.
Ich suche mein Telefon.	I am looking for my phone.
Gehen Sie zur Seite!	Stand aside.
Das war aber knapp.	That was a close shave.
Sie wird ihn auf ewig lieben.	She'll love him forever.
Jim war noch nicht zu Hause.	Jim hasn't been home yet.
Könnt ihr kommen?	Can you come?
Ich bleibe hier.	I'll stay here.
Du sprichst gut Französisch!	You speak good French!
Sprichst du gut Französisch?	Are you good at speaking French?
Mein Bruder mag Musik.	My brother likes music.
Sie mag diese Katzen.	She likes these cats.
Ich mag Mathe nicht so gerne.	I do not like mathematics very much.
Denkt ihr, ich sei verrückt?	Do you think I'm crazy?
Wir können nur warten.	The only thing we can do is wait.
Ich gehe nach unten.	I'll go downstairs.
Ich hoffe von Ihnen zu hören.	I hope to hear from you.
Er fühlt sich sehr glücklich.	He feels very happy.
Ich mag den Frühling.	I like spring.
Gefiel dir der Film?	Did you like the movie?
Was wollt ihr essen?	What do you want to eat?
Du bist nicht mein Typ.	You're not my type.
Hör bitte auf zu reden!	Please stop talking.
Wir sprechen alle Englisch.	We all speak English.
Das erklärt eine Menge.	It explains a lot.
Ich esse kein Fleisch.	I don't eat meat.
Ich bin nicht nervös.	I'm not nervous.
Ich muss blind sein.	I must be blind.
Ob es sie gibt?	Does she exist?
Ein Student will euch sehen.	There's a student who wants to see you guys.
Er nahm seine Brille ab.	He took off his glasses.
Ich arbeite für eine Bank.	I work for a bank.
Wir sind so beschäftigt!	We're so busy.
Das wird dir leid tun!	You'll be sorry!
Ich war nicht nervös.	I wasn't nervous.
Dank an das Leben.	Thanks to life.
Wann kommst du?	When do you come?
Setzen Sie sich auf die Bank.	Sit down on the bench.
Warum muss ich das tun?	Why do I have to do this?
Ich bin immer beschäftigt.	I'm busy all the time.
Ich habe mehr verdient.	I deserve more.
Er hörte keine Musik.	He didn't listen to music.
Er weiß zu lügen.	He knows how to tell lies.
Maria geht langsam.	Maria walks slowly.
Ich weiß nicht, woher es kam.	I don't know where it came from.
Und wo kommt das Geld her?	And where is the money coming from?
Es fehlt eine Seite.	There is a page missing.
Bitte schau mich nicht so an.	Please don't look at me like that.
Ich war immer gut in Mathe.	I was always good at math.
Ich suchte nach einer Arbeit.	I looked for a job.
Er benahm sich wie ein Kind.	He behaved like a child.
Ich bin schon beschäftigt.	I'm already busy.
Darf ich mit ihm sprechen?	Can I speak to him?
Warum kommst du so früh?	Why did you come early?
Ich weiß nicht, warum.	I just don't know why.
Ich esse gerne Äpfel.	I like to eat apples.
Ich habe dich immer geliebt.	I've always loved you.
Wann gehst du nach Hause?	What time do you go home?
Krieg ich hier ein Taxi?	Can I catch a taxi here?
Nein, das stimmt nicht!	No, it's false!
Ich muss ihr helfen.	I must help him.
Wollen Sie es hören?	Do you want to hear it?
Sie sang beim Gehen.	She sang as she walked.
Tu das bitte nicht noch mal!	Please don't do that again.
Ihre Antwort war falsch.	Her answer was incorrect.
Wir ziehen uns um.	We are changing our clothes.
Ich werde mein Bestes geben.	I'll do my best.
Ich mag diese Jacke nicht.	I don't like this jacket.
Und wenn sie nein sagt?	What if she says no?
Ihr könnt es umsonst haben.	You can have it for nothing.
Sie gestand ihm ihre Liebe.	She confessed her love to him.
Er schrieb mir aus Japan.	He wrote me from Japan.
Spielt ihr gut Klavier?	Are you good at playing the piano?
Sagen Sie es niemand.	Don't tell anyone.
Was verkauft ihr?	What are you selling?
Wollt ihr noch eine davon?	Do you want another one of these?
Er sang ein Lied.	He sang a song.
Nehmen Sie diese Kiste weg!	Take that box away!
Ihr zwei seid Brüder, oder?	You two are brothers, right?
Sie riss sein Hemd auf.	She ripped his shirt open.
Möchte jemand Bier?	Does anybody want a beer?
Nicht alle waren zufrieden.	Not all were satisfied.
Man kann ihm vertrauen.	He can be trusted.
Er macht das ständig.	He does this all the time.
Du siehst blass aus.	You look pale.
Er steht ihr nahe.	He is close with her.
Was für Blumen gefallen dir?	What kind of flowers do you like?
Wann fährt dieser Zug ab?	What time does the train depart?
Ihr Bett steht an der Wand.	Her bed is next to the wall.
Er lebt am Arsch der Welt.	She lives in the back of beyond.
Möchten Sie etwas Kaffee?	Would you like to have some coffee?
Sie lieben einander sehr.	They are deeply in love.
War das nicht klar?	Was that not clear?
Was, wenn sie nein sagt?	What if she says no?
Jetzt lebe ich in Kyoto.	I live in Kyoto now.
Ich habe großes Glück.	I'm very fortunate.
Sie war sehr nervös.	She was very nervous.
Er kam nackt aus der Dusche.	He came out of the shower naked.
Wer hat das zuerst getan?	Who did this first?
Sie nahm eine Münze auf.	She picked up a coin.
Wer fängt an?	Who'll start?
Geh heute lieber nicht.	You'd better not go today.
Helfen Sie mir bitte.	Please help me.
Er trat gegen den Ball.	He kicked the ball.
Das Geld für den Plan fehlte.	Money for the plan was lacking.
Damals mochte ich kein Bier.	I didn't like beer at that time.
Er hat zwei Katzen.	He keeps two cats.
Ich brauche Hilfe.	I need help.
Wollt ihr noch einen davon?	Do you want another one of these?
Ich lerne viele Sprachen.	I study many languages.
Er war auch überrascht.	He was surprised too.
Versuch es noch einmal.	Try again.
Bitte geh nicht weg!	Please don't go away.
Warte aber nicht zu lang!	Just don't wait too long.
Das Baby weint immer nur.	That baby does nothing but cry.
Bist du neu?	Are you new?
Geben Sie mir bitte das Salz.	Pass me the salt, please.
Bitte geben Sie mir das Salz.	Please pass me the salt.
Gute Nacht, liebe Freunde.	Good night, my friends.
Es sind viele Leute im Park.	There are many people in the park.
Sind Sie gerade beschäftigt?	Are you busy now?
War ihre Geschichte wahr?	Was her story true?
Wie würde dir das passen?	Does that float your boat?
Telefon für dich.	Phone for you.
Ich singe gerne.	I like to sing.
Setz dich hin, wo du willst.	Sit wherever you like.
Ruf sie heute Abend an.	Call them this evening.
Wie heißt deine Schwester?	What's your sister's name?
Er wird leicht wütend.	He easily gets angry.
Bald wird es Winter.	It will be winter before long.
Sie dachte, ich wäre Arzt.	She supposed me to be a doctor.
Das betrifft mich nicht.	I am not concerned with this.
Wie heißt dieser Vogel?	What is this bird called?
Du hast mehr verdient.	You deserve more.
Ich gebe niemals auf.	I never give up.
Lernst du jeden Tag Englisch?	Do you study English every day?
Aber ich war immer zu faul.	But I was always too lazy.
Ich weiß, wie Frauen denken.	I know how women think.
Sie spricht laut.	She speaks loudly.
Ich trinke nicht viel Wein.	I don't drink much wine.
Sie schläft auf dem Bauch.	She sleeps on her stomach.
Wir wurden gute Freunde.	We became good friends.
Wie kann ich helfen?	How can I help?
Ruf mich nicht an!	Don't give me a call.
Ihr wisst, ich kann nicht.	You know I can't.
Er legte sich aufs Bett.	He laid himself on the bed.
Dein Kuchen schmeckt gut.	Your cake is delicious.
Sie kann gut kochen.	She cooks well.
Sie gingen gestern ins Kino.	They went to the movies last night.
Ich bin ein bisschen nervös.	I am nervous in a sense.
Sie hatte weiße Schuhe an.	She had white shoes on.
Ich esse sehr gerne Pizza.	I love pizza.
Ich liebe es zu tanzen.	I love to dance.
Was willst du hören?	What do you want to hear?
Ich mag keinen Wein.	I don't care for wine.
Ich bin ganz nackt.	I'm completely naked.
Sei dir nicht zu sicher!	Don't be too sure.
Wie benutze ich das?	How do I use this?
Wann geht ihr los?	When will you leave?
Komm um zwei Uhr!	Come at two o'clock.
Ich will Sex mit ihm haben.	I want to have sex with him.
Wenn nicht jetzt, wann dann?	Not now, then when?
Ich bin gerade beschäftigt.	I'm busy now.
Vielleicht das nächste Mal!	Maybe next time!
Sollen wir jetzt gehen?	Shall we go now?
Ich dusche jeden Abend.	I have a shower every night.
Einer von beiden muss gehen.	Either of the two must go.
War seine Geschichte wahr?	Was his story true?
Das kann niemand sagen.	No one can tell.
Er hat sie mal geliebt.	He used to love her.
Sie wird von ihm geliebt.	She is loved by him.
Sie hatten sieben Kinder.	They had seven children.
Sie hört gerne Musik.	She likes to listen to music.
Alle lachten über den Jungen.	Everybody laughed at the boy.
Mädchen sind verrückt.	Girls are crazy.
Ich hoffe nicht.	I hope not.
Ich mag lieber Reis als Brot.	I prefer rice to bread.
Du kannst ihnen vertrauen.	You can trust them.
Rufen Sie Ihren Bruder.	Call your brother.
Du hast großes Glück.	You're very fortunate.
Du siehst dumm aus.	You look stupid.
Hier sind wir völlig sicher.	We're perfectly safe here.
Ich kann doch nicht sterben.	I can't die yet.
Ich habe euch lachen gehört.	I heard you laughing.
Ich konnte kaum sprechen.	I could barely speak.
Ich schreibe einen Brief.	I am writing a letter.
Ich muss zur Bank gehen.	I have to go to the bank.
Ich spreche Französisch.	I speak French.
Ein Apfel fiel zu Boden.	An apple fell to the ground.
Keiner spricht mit mir.	Nobody speaks to me.
Er geht selten ins Kino.	He rarely goes to the movies.
Du kannst alles hören.	You can hear everything.
Ich esse gerne Reis.	I like rice.
Warum hast du zwei Wagen?	Why do you have two cars?
Das gefiel ihr.	She liked that.
Ich bin einsam.	I'm lonely.
Mach bitte die Flasche auf.	Please open the bottle.
Sie hat ihn weinen hören.	She heard him cry.
Sprich nie wieder so mit mir!	Don't ever talk to me like that again.
Kennst du einen guten Arzt?	Do you know some good doctor?
Das habe ich nicht gesagt!	I didn't say that.
Du arbeitest kaum, oder?	You hardly ever work, do you?
Ich höre gerne Musik.	I like listening to music.
Ich kann gut kochen.	I'm a good cook.
Er sitzt am Tisch.	He's sitting at the table.
Sie raucht viel.	She smokes a lot.
Das hoffe ich.	I hope so.
Ich habe nun keinen Hunger.	I'm not hungry right now.
Reich mir bitte den Wein.	Pass me the wine, please.
Sie spielen gern zusammen.	They enjoy playing together.
Wir arbeiten gut zusammen.	We make a great team.
Ich will Deutsch lernen.	I want to study German.
Isst du gerne japanisch?	Do you like Japanese food?
Maria hat blaue Augen.	Maria has blue eyes.
Sie muss sauer sein.	She must be angry.
Hier fühle ich mich sicher.	I feel safe here.
Ich fühle mich hier sicher.	I feel safe here.
Der Mann ging endlich weg.	The man went off at last.
Habe ich es nicht gesagt?	Didn't I say that?
Er glaubte es erst nicht.	He didn't believe it at first.
Ein Vogel flog in den Baum.	A bird flew into the tree.
Habt ihr noch mehr Fragen?	Do you have any more questions?
Die Kiste war fast voll.	The box was almost full.
Ein Vogel singt auf dem Baum.	A bird is singing in the tree.
Deine Augen gefallen mir!	I like your eyes!
Maria isst kein Fleisch.	Mary doesn't eat meat.
Macht es gleich fertig!	Get it ready at once.
Du bleibst, wo du bist!	You stay put.
Ich lerne Französisch.	I'm studying French.
Bitte helfen Sie uns!	Please help us.
Ich esse nie Fleisch.	I never eat meat.
Ich schaue nur.	I'm just looking around.
Ich hoffe es.	I hope so.
Sie bat ihren Lehrer um Rat.	She asked her teacher for advice.
Ich bin mit allem zufrieden.	I'm satisfied with everything.
Diese CD gehört meinem Sohn.	This CD belongs to my son.
Hier findet uns nie jemand.	Nobody'll ever find us here.
Er hat ein eigenes Telefon.	He has a telephone to himself.
Der Mann hat kein zuhause.	The man has no house to live in.
Ich habe am Sonntag Zeit.	I'm free on Sunday.
War es das wirklich wert?	Was that really worth it?
Er saß auf der Bank.	He sat on the bench.
Setzen wir uns auf die Bank.	Let's sit down on the bench.
Du kannst von Glück sagen!	You can count yourself lucky!
Ich fand das Spiel leicht.	I found the game easy.
Tag! Wo willst du hin?	Hi! Where do you want to go?
Wann gehen wir?	When do we go?
Ich bin morgen beschäftigt.	I'll be busy tomorrow.
Bist du gerade beschäftigt?	Are you busy now?
Das Pferd lief schnell.	The horse ran fast.
Du musst dein Bestes geben.	You must do your best.
Das kannst du laut sagen.	You can say that again.
Komm dem Hund nicht zu nahe.	Don't go near the dog.
Sie stimmte meiner Idee zu.	She agreed with my idea.
Er stand hinter dem Stuhl.	He stood behind the chair.
Sie dürfen jetzt gehen.	You may go now.
Bis zum nächsten Mal.	Until next time.
Wird er uns helfen?	Is he going to help us?
Vertraut ihr ihr?	Do you trust her?
Ich bin Schüler.	I am a high school student.
Sei bitte ruhig!	Please keep quiet.
Bitte sei ruhig.	Please be quiet.
Sie hatte die richtige Idee.	She had the right idea.
Was, wenn er nein sagt?	What if he says no?
Nimmst du das hier auf?	Are you recording this?
Es regnet heute bestimmt.	It'll surely rain today.
Das war überaus einfach.	That was very easy!
Das betrifft uns nicht.	This doesn't concern us.
Diese Bücher sind neu.	These books are new.
Ich hasse den Winter.	I hate the winter.
Ken will ein Fahrrad.	Ken wants a bicycle.
Er hat keine Sorgen.	He is free from care.
Ich esse jetzt Reis.	I'm eating rice now.
Der Mann wurde rot.	The man blushed.
Sie hat fünf große Brüder.	She has five older brothers.
Er gab ihr ein Getränk aus.	He bought her a drink.
Er war vielleicht krank.	He may have been ill.
Vielleicht war er krank.	Maybe he was ill.
Das macht keinen Sinn.	This makes no sense.
Ich wollte ja sagen.	I wanted to say yes.
Der Mann aß Brot.	The man ate bread.
Mach es selbst!	Do it yourself!
Er bat seinen Lehrer um Rat.	He asked his teacher for advice.
Er spricht gut Japanisch.	He speaks Japanese well.
Wie schmeckt diese Suppe?	How does this soup taste?
Wir vermissen euch sehr.	We miss you very much.
Es regnet seit gestern.	It has been raining since yesterday.
Ich glaubte, er wäre Arzt.	I believed that he was a physician.
Rufen Sie bitte ein Taxi!	Please call a taxi.
Ich muss ans Telefon gehen.	I have to answer the phone.
Der Motor sprang wieder an.	The engine started again.
Mensch, sag so was nicht!	Man, don't say that!
Wem gehört dieses Land?	Who owns this land?
Niemand versteht mich.	Nobody understands me.
Ich werde dir helfen.	I will help you.
Was trinken Sie?	What would you like to drink?
Er gab mir die Schuld daran.	He blamed it on me.
Ich denke ab und zu daran.	I think about that from time to time.
Seid ihr nicht beschäftigt?	Aren't you busy?
Ich wollte dich treffen.	I wanted to meet you.
Die Antwort fiel leicht.	It was easy to answer.
Meine Uhr geht richtig.	My watch is running all right.
Da fehlt ein Messer.	There is a knife missing.
Er zeigte uns ein paar Fotos.	He showed us some pictures.
Du liebst mich ja gar nicht!	You don't love me!
Sie hat mich gestern besucht.	She dropped in at my house yesterday.
Ich starrte ihr ins Gesicht.	I stared her in the face.
Sie wird es nicht schaffen.	She won't make it.
Warum magst du mich nicht?	Why don't you like me?
Ich mag Katzen und Hunde.	I like both cats and dogs.
Gestern regnete es.	It rained yesterday.
Ich arbeite für niemanden.	I don't work for nobody.
Diese Suppe schmeckt gut.	This soup tastes good.
Wollt ihr jetzt gehen?	Do you want to leave now?
Sie tat ihr Bestes.	She did the best she could.
Warum kommt er nicht zurück?	Why doesn't he come back?
Ich schwimme fast jeden Tag.	I swim almost every day.
Der Junge redet Englisch.	That boy is speaking English.
Warum kommst du so spät?	Why are you so late?
Er möchte dich treffen.	He wants to meet you.
Drei Leute fehlen noch.	Three people are still missing.
Sie arbeitet langsam.	She works slowly.
Sie hat drei Brüder.	She has three brothers.
Ich bewundere euch.	I admire you.
Nun verstehe ich.	I understand now.
Darf ich diesen Apfel essen?	May I eat this apple?
Sei dir nicht so sicher!	Don't be so sure.
Es klopft an der Tür.	Someone is knocking at the door.
Kann ich euch helfen?	Can I help you?
Ich war schon mal in Rom.	I have been to Rome.
Gute Nacht und schöne Träume.	Good night and sweet dreams.
Wir lesen gerade.	We're reading.
Ich kann Französisch lesen.	I'm able to read French.
Er wollte Sie treffen.	He wanted to meet you.
Er möchte anders sein.	He wants to be different.
Diese Äpfel sind groß.	Those apples are big.
Bade bitte die Kinder!	Please bathe the children.
Du musst mir helfen!	You've got to help me.
Ich bin nicht deine Tochter.	I am not your daughter.
Wir müssen ihnen vertrauen.	We have to trust them.
Schneit es viel im Winter?	Does it snow much in winter?
Endlich sind wir ihn los.	At last, we got rid of him.
Möchtest du dich setzen?	Would you like to sit?
Sie mag kein Fußball.	She doesn't like soccer.
Bitte singe etwas.	Sing something, please.
Wo sind denn alle hin?	Where did everybody go?
Ich habe zwei Brüder.	I have two brothers.
Ich will nur helfen.	I just want to help.
Warum tut sie das?	Why is she doing this?
Sind sie in Paris?	Are they in Paris?
Ruhe dich ein wenig aus.	Get some rest.
Komm zu mir um elf Uhr.	Come and see me at eleven o'clock.
Sie müssen mir helfen!	You've got to help me.
Du sagst nicht die Wahrheit.	You're not telling the truth.
Ich dachte, es wäre wahr.	I thought it was true.
Dir muss nichts leid tun.	You have nothing to be sorry about.
Das muss unter uns bleiben.	We need to keep this confidential.
Komm, wann immer du willst.	Come whenever you want to.
Sie sind wenig freundlich.	You're unkind.
Ihr Kind benimmt sich gut.	Her child behaves well.
Sie antwortete in Tränen.	She answered with tears.
Was wollen Sie hören?	What do you want to hear?
Wer hilft ihr?	Who helps her?
Setz dich und sei still!	Sit down and shut up.
Ich gehe lieber alleine.	I prefer to go alone.
Es gibt nichts umsonst.	Everything comes at a price.
Ich reise nie allein.	I never travel alone.
Du hörst nicht zu.	You're not listening.
Wo zum Teufel gehen Sie hin?	Where the hell are you going?
Wohnen Sie allein?	Do you live alone?
Er konnte kaum sprechen.	He could barely speak.
Geht deine Uhr richtig?	Is your watch correct?
Der Himmel war dunkel.	The sky was dark.
Ich muss ihm helfen.	I must help him.
Der Baum wächst sehr schnell.	The tree grows very quickly.
Ich kann ohne Brille lesen.	I can read without glasses.
Du kannst über mich lachen.	You may laugh at me.
Wo sind bitte die Eier?	Where are the eggs, please?
Der Junge wäscht sich im Bad.	The boy is washing in the bathroom.
Sprichst du auch Französisch?	Can you speak French, too?
Ich habe Schulden bei ihm.	I owe him a debt.
Ich habe keine Lust dazu.	I don't feel like it.
Sie tut mir leid.	I feel sorry for her.
Reicht das Geld?	Is this enough money?
Er lachte über meinen Witz.	He laughed at my joke.
Ich höre gerade Musik.	I'm listening to music.
Gott sei mit dir!	God be with you.
Sie amüsierten sich mit uns.	They had fun with us.
Ich war kein Gegner für sie.	I was no match for her.
Das Mädchen lief langsam.	The girl walked slowly.
Er kann gut kochen.	He is good at cooking.
Das tut mir leid.	I'm sorry about that.
Bleiben Sie nicht zum Tee?	Won't you stay for tea?
Man kann alles hören.	You can hear everything.
Hören Sie auf damit!	Stop doing that.
Ihr seht gleich aus.	You guys look the same.
Ich bin in Paris.	I am in Paris.
Ich trinke Milch.	I am drinking milk.
Ich kann auch nicht tanzen.	I can't dance either.
Sag das bloß nie wieder.	Don't you ever say that again.
Ich kann nicht fliegen.	I can't fly.
Ich komme aus Japan.	I come from Japan.
Redest du mit mir?	Are you speaking to me?
Ich war in Paris.	I have been in Paris.
Es tut mir leid.	I'm sorry.
Er warf alles aus dem Boot.	He threw everything out of the boat!
Was wollten Sie mir sagen?	What did you want to tell me?
Sie brachen in Tränen aus.	They burst into tears.
Sie benutzt dich.	She is making use of you.
Ich werde Deutsch lernen.	I will study German.
Bist du damit zufrieden?	Are you happy with that?
Dort waren drei Männer.	There were three men.
Das sagt der Richtige.	Look who's talking.
Ich bin kein Dieb.	I'm not a thief.
Ich habe mein Bestes getan.	I did my best.
Sie hörte auf zu lachen.	She stopped laughing.
Ich studiere gerade Englisch.	I am studying English now.
Darf ich nach Hause gehen?	May I go home?
Ich habe Angst zu sterben.	I'm afraid of death.
Meine Frau schlägt mich.	My wife beats me.
Er sagte die Wahrheit.	He told the truth.
Ich fürchte den Tod nicht.	I do not fear death.
Er wollte mich treffen.	He wanted to meet me.
Bitte singe ein Lied.	Please sing a song.
Sie schuldet mir viel Geld.	She owes me a lot of money.
Der Wagen springt nicht an.	The car doesn't start.
Wir wurden sofort Freunde.	We instantly became friends.
Sie sollten mir vertrauen.	You ought to trust me.
Wir werden ihn vermissen.	He will be missed.
Wir sind immer hungrig.	We're always hungry.
Gott sei mit uns.	May God be with us.
Was ergibt drei mal sieben?	What is three times seven?
Bist du gut im Sport?	Are you good at sports?
Wo waren sie den ganzen Tag?	Where have you been all day?
Er starrte ihr ins Gesicht.	He stared her in the face.
Das fällt uns sehr schwer.	That's very difficult for us.
Ihr müsst sofort los.	You must go at once.
Mir tut ein Zahn weh.	One of my teeth hurts.
Ich bin ein Student.	I am a student.
Wir rufen Sie.	We'll call you.
Guter Junge!	That a boy!
Er hatte die richtige Idee.	He had the right idea.
Es gibt reichlich zu essen.	There is plenty of food.
Ich schaute ins Fenster.	I looked in the window.
Die Arbeit kann warten.	The work can wait.
Er warf den Ball.	He threw the ball.
Er legte seine Sachen ab.	He took off his clothes.
Bitte ruf mich später an.	Please call me up later.
Wann stehst du jeden Tag auf?	What time do you get up every day?
Eltern lieben ihre Kinder.	Parents love their children.
Sie braucht unsere Hilfe.	She needs our help.
Mach hier keinen Lärm.	Don't make noise here.
Du hast zwei Brüder.	You have two brothers.
Was hat dir der Arzt gesagt?	What did the doctor tell you?
Es gibt Wichtigeres im Leben.	There are more important things in life.
Gute Nacht alle zusammen!	Good night everyone!
Geh aus dem Weg.	Get out of the way.
Hörst du mir zu?	Are you listening?
Ich hörte auf zu lachen.	I stopped laughing.
Ihre Träume wurden war.	Their dreams came true.
Nimm mich in den Arm!	Give me a hug.
Ich war ziemlich überrascht.	I was quite surprised.
Du solltest mir vertrauen.	You ought to trust me.
Sie sehen zufrieden aus.	You look contented.
Ich mag Tennis sehr.	I like tennis very much.
Ich glaube an Gott.	I believe in God.
Mir läuft die Nase.	My nose is running.
Das Kino war voller Leute.	The movie theater was filled with people.
Ich habe zu langes Haar.	My hair is too long.
Ich dachte, er wäre krank.	I thought he was sick.
Ich lerne gern Sprachen.	I like to study languages.
Er wollte dich treffen.	He wanted to meet you.
Wir helfen dir aus.	We'll help you out.
Niemand glaubt mir.	No one believes me.
Er hob seine Hand.	He raised his hand.
Was denkt ihr?	What are you thinking?
Ich habe heute großen Hunger.	I'm very hungry today.
Jeder steht für sich allein.	It's every man for himself.
