active	aktiv<br>aktiver<br>am aktivsten 
the fish	der Fisch -e 
the flower	die Blume -n 
the foot	der Fuß Füße 
the forest	der Wald Wälder 
the grass, <br>lawn, <br>lawn mower 	das Gras Gräser <br>der Rasen " <br>der Rasenmäher " 
the ground, <br>floor, <br>bottom 	der Boden Böden <br>der Grund Gründe 
the hole	das Loch Löcher 
the horse	das Pferd -e 
the moon	der Mond -e 
the mountain, <br>mountain range 	der Berg -e <br>das Gebirge " 
the nature	die Natur -en 
the night	die Nacht Nächte 
the oil	das Öl -e 
the park	der Park -s 
the rain	der Regen " 
the river	der Fluss Flüsse 
the ocean, sea	der Ozean -e <br>das Meer -e <br>die See -- [= sea] NOTE: der See -n = lake 
the skirt	der Rock Röcke 
the sky, <br>heaven 	der Himmel " 
the space, outer space	das All --<br>der Weltraum -räume 
the star	der Stern -e Dat.pl: -en Der Himmel ist voll mit Sternen 
the stone	der Stein -e 
the sun	die Sonne -n 
the tree	der Baum Bäume 
the umbrella	der Regenschirm -e 
the water, mineral water 	das Wasser " das Mineralwasser " - mit/ohne Kohlensäure 
the weather	das Wetter " 
the wind	der Wind -e Es ist windig ! 
winter	der Winter " 
the wood	das Holz Hölzer 
the world	die Welt -en 
the purchased item	der Kauf -äufe<br>der Einkauf -äufe 
the accident	der Unfall Unfälle 
the addiction	die Sucht Süchte<br />die Süchtigkeit -en <br />die Abhängigkeit -en (= dependence) Er ist drogensüchtig / alkoholsüchtig. 
the adult	der Erwachsene [m]<br>die Erwachsene [f]<br>die Erwachsenen [pl] der Erwachsene [m] is Weak noun...<br>Singular = den/dem/des Erwachsenen 
the advantage, <br>benefit 	der Vorteil -e 
the advice	der Rat -- 
the advisor<br>consultant	der Berater "<br>der Ratgeber " 
the agreement	die Vereinbarung -en<br>die Zustimmung -en<br>das Einverständnis -se 
the announcement, notification	die Mitteilung -en<br>die Meldung -en <br>die Ankundigung -en<br>die Ansage -n <br>die Durchsage -n Ich kündige mein Buch an. 
the question <br>the answer 	die Frage -n <br>die Antwort -en Ich frage dich und ich antworte dir 
the appointment 	die Verabredung -en<br>der Termin -e 
the marketing	das Marketing --<br>der Vertrieb -e 
the arm	der Arm -e 
the attempt, try	der Versuch -e 
the attitude, <br>adjustment, calibration	die Einstellung -en 
the aunt	die Tante -n 
the baby	das Baby -s 
the bag, <br>hand bag 	die Tasche -n<br>die Tüte -n <br>die Handtasche -n 
the band	die Band -s [music]<br>das Band Bänder [cord, ribbon, tape, rubber band] 
the bath	das Bad Bäder 
the fight, battle, struggle 	der Kampf Kämpfe<br>die Schlacht -en<br>das Gefecht -e NOTE: der Krieg = war 
the beer	das Bier -e 
the behaviour	das Verhalten "<br>das Benehmen -- 
the belief	der Glaube -- Weak noun...<br>Singular = den/dem/des Glauben 
the belt	der Gürtel " den Gürtel enger schnallen = to tighten one's belt 
the birth, <br>birth date, <br>birth place 	die Geburt -en <br>das Geburtsdatum -ten <br>der Geburtsort -e 
the blockage, constipation	die Verstopfung -en 
the blood	das Blut -- 
the body	der Körper " 
the boy	der Junge -en Weak noun...<br>Singular = den/dem/des Jungen 
the brain	das Gehirn -e <br>das Hirn -e 
the brother	der Bruder Brüder 
the brush	die Bürste -n<br>der Pinsel "<br>der Handbesen " 
the button [clothes]	der Knopf Knöpfe 
the buyer	der Käufer " 
the care	die Betreuung -en <br> die Pflege --<br> die Fürsorge -n 
the chance	die Chance -n 
the child	das Kind -er Dat.pl: -ern 
the circle, area	der Kreis -e 
the citizen	der Bürger " <br>die Bürgerin -nen 
the claim, entitlement	der Anspruch -sprüche 
the clinic	die Klinik -en 
the job offer, <br>job vacancy	das Stellenangebot -en 
the dress, clothes	das Kleid -er<br> die Kleidung "<br>die Klamotten " Das Kleid steht dir! 
the coat	der Mantel Mäntel 
the combination	die Kombination -en 
the commandment	das Gebot -e 
the comment 	der Kommentar -e <br>die Bemerkung -en 
the community	die Gemeinde -n 
the composure, version	die Fassung -en 
the concept	das Konzept -e 
the connection	der Anschluss -schlüsse <br>die Verbindung -en 
the consumer	der Verbraucher " 
the control	die Kontrolle -n 
the conversation, entertainment	die Konversation -en <br>das Gespräch -e<br>die Unterhaltung -en 
the cooperation	die Zusammenarbeit -en<br>die Kooperation -en 
the cosmetic	die Kosmetik -- 
the flea market	der Flohmarkt -märkte 
the culture	die Kultur -en 
the dame, lady	die Dame -n 
the danger	die Gefahr -en 
the date	das Datum Daten 
the daughter	die Tochter Töchter 
the decision	die Entscheidung -en 
the deployment	der Einsatz -sätze Wo war er im Einsatz ? 
the enjoyment, pleasure, lust, sexual desire	die Lust Lüste Ich habe keine Lust = I don't feel like it 
the diet	die Diät -en 
the discussion	 die Diskussion -en <br>das Gespräch -e Wir führen ein Gespräch. 
the doctor	der Arzt Ärzte<br>die Ärztin Ärztinnen Er ist beim Arzt. 
the dream	der Traum Träume 
the duration	die Dauer -n 
the ear	das Ohr -en 
the engagement <br>involvement <br>commitment 	das Engagement -s 
the entrance [for people]	der Eingang -gänge <br>der Eintritt -e 
the entry, notation on paper	die Eintragung -en 
the flop	der Flop -s <br>der Reinfall -fälle 
the error, mistake	der Fehler " <br>der Irrtum Irrtümer 
the checkup, examination	die Untersuchung -en 
the exception	die Ausnahme -n In Ihrem Fall, mache ich eine Ausnahme 
the exchange	der Austausch -e<br>der Umtausch -e 
the excitement	die Aufregung -en 
the experience	die Erfahrung -en <br>das Erlebnis -se 
the expression	der Ausdruck -e Wie drückt man das aus ? 
the eye	das Auge -n 
the face	das Gesicht -e 
the family	die Familie -n 
the fan	der Fan -s 
the fashion	die Mode -n 
the father	der Vater Väter <br>der Vati -s 
the fear, anxiety	die Angst Ängste <br>die Furcht -- Ich habe angst vor dir. 
the feeling	das Gefühl -e 
the finger	der Finger " 
the freedom	die Freiheit -en 
the friend	der Freund -e Dat.pl: -en<br>die Freundin -nin<br><br>der Kumpel " 
the future	die Zukunft -e Ein Blick in die Zukunft = A glance at the future 
the ghost, <br>mind, spirit	der Geist -e Der Geist ist willig, aber das Fleisch ist schwach. <br>Im Geiste bin ich bei dir. 
the girl	das Mädchen " 
the god	der Gott Götter 
the greeting	der Gruss Grüße 
the group	die Gruppe -n <br>die Gruppierung -en <br>die Fraktion -en 
the guest	der Gast Gäste 
the hair	das Haar -e 
the hand	die Hand Hände 
the dealing with... <br />the handling of s.o / s.t	der Umgang -gänge 
the hat	der Hut Hüte 
the head	der Kopf Köpfe 
the health	die Gesundheit -- 
the health insurance	die Krankenversicherung -en 
the heart	das Herz -en Weak noun...<br>Singular = den/dem Herzen, des Herzens 
the height	die Höhe -n 
the help	die Hilfe -n 
the homeland, hometown	die Heimat -- 
the hope	die Hoffnung -en 
the humour	der Humor -e 
the hunger	der Hunger " 
the idea	die Idee -n <br>die Ahnung -en 
the impression	der Eindruck Eindrücke <br>die Vorstellung -en 
the influence	der Einfluss -flüsse 
the information	die Information -en <br>die Auskunft -künfte 
the interest [personal]	das Interesse -n 
the introduction	die Vorstellung -en <br>die Einführung -en 
the invitation	die Einladung -en 
the jacket	die Jacke -n 
the jeans	die Jeans " 
the jewel, jewelry	das Juwel -en<br>der Schmuck -e 
the joke	der Witz -e 
the kidney	die Niere -n 
the land, country	das Land Länder Ich bin auf dem Land = in the country <br>Ich gehe auf das Land = to the country 
the language	die Sprache -n 
the law, <br>legislation 	das Gesetz -e <br>das Recht -e <br>die Gesetzgebung -en 
the leader	der Führer "<br>der Leiter " 
the leg	das Bein -e 
the library	die Bibliothek -en 
the life	das Leben " 
the liver	die Leber -n 
the love, <br>dear [letters]	die Liebe -n Liebe Mary, .....<br>Lieber John, ..... 
the luck<br>happiness	das Glück -- 
the lung	die Lunge -n 
the man <br>husband <br>spouse, partner	der Mann Männer Dat.pl: -n <br>der Ehemann -männer Dat.pl: -n <br>der Partner " , die Partnerin " 
the medicine, <br>medication 	die Medizin -en<br>das Medikament -e 
the mother, <br>mum	die Mutter Mütter <br>die Mutti -s 
the mourning, grief, sorrow	die Trauer -- 
the mouth	der Mund Münder 
the name, <br>first/christian name	der Name -n <br>der Vorname -n Weak noun...<br>Singular = den/dem/des Namen<br><br>Was ist Ihr Name?<br>Was ist dein Name? 
the nephew	der Neffe -n Weak noun...<br>Singular = den/dem/des Neffen 
the nose	die Nase -n 
the opinion	die Meinung -en <br>die Auffassung -en Nach meiner Meinung... <br>Das ist nicht meine Auffassung. 
to exaggerate	übertreiben 
the owner 	der Eigentümer " <br>der Besitzer " 
the painter	der Maler " 
the pants, trousers, <br>underpants, briefs	die Hose -n <br>die Unterhose -n 
the parent[s]	die Eltern No German singular 
the past, history	die Vergangenheit --<br>die Geschichte -en 
the patient	der Patient -en<br>die Patientin -nin Weak noun...<br>Male Singular = den/dem/des Patienten 
the person <br>people	die Person -en<br>der Mensch -en<br>die Leute pl only. Dat.pl: -n Der Betrieb sucht qualifizierte Leute. <br>Das sind die qualifizierten Leute. <br>Es sind die gleichen Personen, die zu spät kommen und zu früh gehen.<br><br>der Mensch is weak noun...<br>Singular = den/dem/des Menschen 
the coffee shop, <br>cafe	das Café -s 
the personnel, <br>staff	das Personal -- <br>die Belegschaft -en 
the pharmacy, chemist, drugstore	die Apotheke -n [dispensing] <br>die Drogerie -n [non-dispensing] 
the pleasure, joy	die Freude -n <br>der Genuss -- <br>das Vergnügen -- Ich bin außer mir vor Freude (overjoyed) 
the possibility	die Möglichkeit -en 
the power, force	die Macht Mächte 
the present, gift	das Geschenk -e 
the principle	das Prinzip -ien 
the problem	das Problem -e 
the public [noun]	die Öffentlichkeit -en <br>das Publikum -- 
the publisher	der Verlag -e 
the pullover	der Pulli -s 
the purpose, sense of...	der Zweck -e<br> der Sinn -e Es hat keinen Sinn 
ph: She is in the media 	Sie ist in den Medien [Plur] 
the razor	der Rasierer -- <br>der Rasierapparat -e 
the reader	der Leser " 
the salutation, <br>form of address, <br>Mr, Mrs, Miss, Ms, Doctor, etc.	die Anrede -n Herr, Frau, Fräulein, Doktor, usw. 
the reception	der Empfang -fänge 
the recipe <br>script, prescription	das Rezept -e 
the recommendation	die Empfehlung -en 
the reference	der Bezug -züge <br>die Referenz -en 
the relationship, <br>affair	das Verhältnis -se <br>die Beziehung -en 
the resident	der Einwohner -n 
the responsibility	die Verantwortung -en 
the rest <br>remainder 	der Rest -e 
the result	das Ergebnis -se<br>das Resultat -e 
the role	die Rolle -n 
the run	der Lauf Läufe 
the sale	der Verkauf -äufe 
the salesperson, vendor	der Verkäufer "<br>die Verkäuferin -nen 
the choice, selection	die Auswahl -en Ich habe keine Wahl 
the seriousness	der Ernst -- Es ist mein Ernst 
the shirt	das Hemd -en 
the shoe, <br>trainers	der Schuh -e <br>der Turnschuh -e 
the shop, store	der Laden Läden 
the sickness, disease	die Krankheit -en 
the chin	das Kinn -e 
the sister	die Schwester -n 
the skin	die Haut Häute 
the soap	die Seife -n 
the sock	die Socke -n 
the son	der Sohn Söhne 
the soul, psyche	die Seele -n 
the speech	die Rede -n <br>der Vortrag -äge 
the stomach	der Bauch Bäuche<br>der Magen Mägen 
the strength, craft	die Kraft Kräfte <br>die Stärke -n 
the success	der Erfolg -e 
the suggestion	der Vorschlag -äge 
the survey, poll	die Umfrage -n 
the cream [skin]	die Creme -s<br>die Salbe -n 
the therapy	die Therapie -n 
the thirst	der Durst -- 
the thought	der Gedanke -n 
the neck, throat	der Nacken " <br>der Hals Hälse <br>das Genick -e <br>die Kehle -n 
the thumb	der Daumen " 
the title	der Titel " 
the tooth	der Zahn -ähne 
the toothpaste	die Zahnpasta -pasten <br>die Zahncreme -s 
to form, comprise of	formen <br>bilden Wir bilden drei Gruppen 
the trailer, supporter	der Anhänger " 
the translation	die Übersetzung -en 
the truth	die Wahrheit -en 
the uncle	der Onkel " 
the understanding, <br>misunderstanding 	das Verständnis -se <br>das Missverständnis -se 
the unit, unity	die Einheit -en 
the user <br>use	der Nutzer " <br>der Nutzen " 
the victim	das Opfer " 
the victory	der Sieg -e 
the view	die Ansicht -en<br> der Blick -e 
the violence	die Gewalt -en 
the visit	der Besuch -e 
the visitor	der Besucher " 
the voice, <br>vote	die Stimme -n 
the wedding	die Hochzeit -en 
the weight	das Gewicht -e 
the wish	der Wunsch Wünsche 
the woman, <br>wife, <br>spouse, partner 	die Frau -en <br>die Ehefrau -en <br>der Partner " , die Partnerin " 
the worry	die Sorge -n 
the club	der Verein -e <br>der Klub -s 
the federal league [soccer]	die Bundesliga -gen 
the football	der Fußball -älle 
the golf	der Golf -e 
the member	das Mitglied -er 
the participant	der Teilnehmer " 
the player	der Spieler " 
the spectator	der Zuschauer " 
the sport	der Sport -e 
the team	die Mannschaft -en<br />das Team -s 
the tennis	das Tennis -- 
the trainer, <br>coach 	der Trainer " 
the training	das Training -s 
the accessories, <br>equipment	das Zubehör -e 
the accommodation	die Unterkunft -künfte Wo finden wir Unterkunft? 
the adventure	das Abenteuer " 
the aircraft	das Flugzueg -e 
the airport	der Flughafen -häfen 
the alcohol	der Alkohol " 
the area, <br>region	der Bereich -e<br>das Gebiet -e<br>die Gegend -en <br>die Fläche -n <br>die Region -en 
the bar, <br>pub	die Bar -s<br>die Kneipe -n 
the battery	die Batterie -n <br>der Akku -s [kurz für "Akkumulator"] 
the beach	der Strand Strände Dat.pl: -en 
the boat	das Boot -e 
the bridge	die Brücke -n 
the bus, <br>coach [long distance bus]	der Bus -se <br>der Reisebus -se <br>der Fernbus -se 
the automobile, car	das Auto -s Wir sprechen vom Auto. 
the clutch	die Kupplung -en 
the diesel, benzine	der Diesel " das Benzin -- <br />das Normalbenzin, das Superbenzin 
the direction, guidance <br>hint	der Hinweis -e <br>die Richtung -en<br>die Anweisung -en 
the distance	die Entfernung -en <br>die Ferne -- 
the driver	der Fahrer " <br>die Fahrerin -nen 
the motor, engine	der Motor -en<br>die Maschine -n<br>das Triebwerk -e 
the entry [for a vehicle]	die Einfahrt -en 
the flight	der Flug Flüge 
the hook, peg, <br>catch, snag, <br>tick [check mark]	der Haken " Er hängte seinen Mantel an den Haken.<br>Die Sache hat einen Haken &#8594; there’s a snag/catch. <br>Der Lehrer macht neben jede richtige Antwort einen Haken.<br>Einen Haken schlagen &#8594; to dart sideways. <br><br>NOTE: die Harke -n = the rake 
the guesthouse	das Gasthaus -häuser <br>die Pension -en <br>die Vollpension -- [full board i.e. incl. breakfast, lunch and dinner] 
the holiday/vacation [for workers],<br>school holiday/vacation	der Urlaub -e <br>die Ferien [pl only] 
the half 	die Hälfte -n 
the hotel	das Hotel -s 
the island	die Insel -n 
the lake	der See -n (lake) 
the passport	der Reisepass -ässe <br>der Pass -ässe Hast du deinen Pass bei dir? 
the railway	die Eisenbahn -en <br>die Bahn -en 
the repair	die Reparatur -en 
the route	die Strecke -n <br>die Route -n 
the seat	der Sitzplatz -plätze 
the ship	das Schiff -e 
the ski	der Ski " 
the speed, velocity 	die Geschwindigkeit -en 
the stage [theatre]	die Bühne -n 
the station, <br>railway station, <br>main/central railway station 	die Station -en<br> der Bahnhof -höfe <br>der Hauptbahnhof - höfe 
the summer	der Sommer " 
the swimming pool, <br>indoor swimming pool	der Pool -s <br>das Schwimmbad -bäder <br>das Freibad -bäder <br>das Hallenbad -bäder 
the switch, counter	die Schaltung -en <br>der Schalter " 
the ticket, card, map, <br>ticket office 	die Karte -n <br>die Fahrkarte -n <br>der Fahrkartenschalter -n 
the tire, tyre	der Reifen " 
the tour	die Tour -en 
the traffic	der Verkehr " 
the train	der Zug Züge <br>die Bahn -en 
the transport, <br>transportation 	der Transport -e <br>die Beförderung -en <br>die Überführung -en 
the trip, journey	die Reise -en Wir sind auf einer Reise.<br>Wir machen eine Reise. 
the trip, journey [with vehicle, bike]	die Fahrt -en Man fährt Auto, <br>Man fährt Fahrrad,<br>Man reitet ein Pferd 
the vehicle 	das Fahrzeug -e <br>der Wagen " 
the wheel	das Rad Räder 
the windscreen, <br>windshield	die Windshutzscheibe -en 
the tax, <br>taxation, <br>steering wheel	die Steuer -n <br>die Besteuerung -en <br>das Steuer -- 
the activity	die Tätigkeit -en<br>die Aktivität -en 
the advertising <br>publicity	die Werbung -en<br>die Reklame -n 
the advertisement <br>classified ad	die Anzeige -n <br>die Kleinanzeige -n 
the agent <br>the agency 	der Agent -en <br>die Agentur -en 
the analysis	die Analyse -n 
the apparatus	der Apparat -e 
the application	die Anwendung -en <br>die Verwendung -en <br>der Antrag -äge 
the architect	der Architekt -en<br>die Architektin -nin Weak noun...<br>Male Singular = den/dem/des Architekten 
the authority [building, office]	das Amt Ämter 
the authority [people]	die Behörde -n 
the average	der Durchschnitt -e 
the beginner	der Anfänger " 
the branch, <br>sector of industry	die Branche -n<br>die Filiale -n<br>der Zweig -e 
the brand, label, mark	die Marke -n 
the business	das Geschäft -e <br>das Business --<br>das Gewerbe " 
the calculation	die Berechnung -en 
the paradise	das Paradies -e 
the career	die Karriere -n 
the catalogue	der Katalog -e 
the category	die Kategorie -n 
the commitment, <br>obligation 	die Verpflichtung -en<br>das Engagement -s 
the company, corporation, enterprise	das Unternehmen " 
the company, <br>factory, <br>plant	der Betrieb -e <br>die Fabrik -en <br>das Werk -e 
the competence	die Kompetenz -en 
the confirmation	die Bestätigung -en 
the consequence	die Konsequenz -en<br>der Effekt -e<br>die Folge -n<br>die Auswirkung -en<br>das Ergebnis -se<br>das Resultat -e 
the construction	der Bau -ten<br />die Konstruktion -en 
the consultancy	die Beratung -en 
the contact	der Kontakt -e 
the contract	der Vertrag -träge 
the contribution	der Beitrag -äge 
the course, process	der Verlauf -äufe 
the customer	der Kunde -n Weak noun...<br>Singular = den/dem/des Kunden 
the deadline	die Frist -en 
the delivery	die Lieferung -en 
the department	die Abteilung -en 
the design	der Entwurf -würfe<br>das Design -s 
the developer	der Entwickler " 
the development	die Entwicklung -en 
the dialogue	der Dialog -e 
the document	das Dokument -e 
the documentation	die Dokumentation -en 
the draft, outline	der Entwurf -würfe 
the employer	der Arbeitgeber " 
the valuation, <br>evaluation, <br>assessment 	die Bewertung -en 
famous	berühmt 
the exhibition, fair	die Ausstellung -endie Messe -n 
the expert, <br>professional 	der Experte -n<br>der Fachmann, die Fachleute <br>der Professional -len, <br>der Profi -s Weak noun...<br>Singular: den/dem/des Experten <br><br>Wir sind professionell. 
the factory, plant	die Fabrik -en <br>das Werk -e 
the firm, company	die Firma Firmen 
the form	die Form -en [shape] <br>das Formular -e 
the format	das Format -e 
the function	die Funktion -en 
the guarantee	die Garantie -n 
the hall	die Halle -n <br>der Saal Säle 
the hobby	das Hobby -s 
the home worker, <br>handyman	der Heimwerker " 
the industry	die Industrie -n 
the insurance	die Versicherung -en 
the integration	die Integration -en 
the interview, <br>job interview	das Interview -s <br>das Vorstellungsgespräch -e <br>das Bewerbungsgespräch -e 
the job	der Job -s <br>der Arbeitsplatz -plätze <br>die Arbeitsstelle - <br>die Stelle -n 
the list	die Liste -n<br>die Auflistung -en 
the logistics [pl]	die Logistik -- 
the machine	die Maschine -n 
the device, machine	das Gerät -e 
the management, <br>leadership 	die Führung -en<br>das Management -s 
the leader <br>manager	der Leiter " <br>der Manager " 
the manufacturer	der Hersteller " 
the market	der Markt Märkte 
the master	der Meister " 
the material	das Material -ien 
the means, <br>resource, <br>capability	das Mittel " <br>die Ressource - n [meist Plur.] 
the mediation	die Vermittlung -en 
the metal	das Metall -e 
the model	das Modell -e Sie arbeitet als Model. 
the movement	die Bewegung -en 
the offer, proposal	das Angebot -e 
the office	das Büro -s 
the opening	die Eröffnung -en 
the operator	der Betreiber " 
the option	die Option -en 
the order [purchase order]	die Bestellung -en 
the order, <br>job, <br>assignment, <br>mission	der Auftrag -äge 
the order, <br>tidiness	die Ordnung -en 
the organisation	die Organisation -en 
the output, issue, edition <br>expense, cost	die Ausgabe -n 
the morning [before midday]	der Vormittag " heute/gestern/morgen Vormittag 
the partnership	die Partnerschaft -en 
the performance [effort]	die Leistung -en 
the plan	der Plan Pläne 
the population	die Bevölkerung -en 
the position	die Stellung -en <br>die Position -en 
the practice [medical]	die Praxis Praxen [Artzt] 
the pressure, press, print	der Druck -e Druck auf jemanden ausüben. <br>Jemanden unter Druck setzen. 
the product	die Ware -n <br>das Produkt -e 
the production <br>manufacture 	die Produktion -en <br>die Herstellung -en 
the occupation, career, <br>profession [trained, qualified]	der Beruf -e 
the project	das Projekt -e 
the promotion, support 	die Förderung -en 
the proof	der Beweis -e<br>der Nachweis -e 
the pump	die Pumpe -n 
the quality	die Qualität -en 
the receiver, recipient	der Empfänger " 
the report	der Bericht -e 
the request	die Bitte -n<br>die Aufforderung -en Ich habe eine Bitte 
the requirement, <br>demand 	die Anforderung -en <br>die Auflage -n 
the service	die Bedienung -en <br>der Dienst -e<br>der Service -s <br>die Dienstleitung -en 
the solution	die Lösung -en 
the standard	der Standard -s <br>die Norm -en <br>der Maßstab -stäbe 
the statement, <br>details or particulars o.s.	die Angabe -n <br>die Behauptung -en 
the steel	der Stahl -ähle 
the strategy	die Strategie -n 
the subject, <br>compartment	das Fach Fächer 
the supply	die Versorgung -en <br>der Vorrat -räte <br>der Nachschub -- 
the system	das System -e 
the tabulation	die Tabelle -n 
the objective, target	das Ziel -e 
the task, job	die Aufgabe -n 
the technology	die Technik -en 
the term [as in terminology]	der Begriff -e 
the trade [business]	der Handel " 
the trader, dealer [business]	der Händler " 
the warehouse, camp	das Lager " 
the work	die Arbeit -- 
the work by tradesman/craft	das Handwerk -e 
the worker	der Arbeiter " Dat.pl: -n 
the workshop	die Werkstatt -ätten 
the competition	der Wettbewerb -e <br>der Wettkamp -kämpfe 
to abort, terminate	abbrechen 
very,<br>rather <br><br>I am very sure...	ziemlich Ich bin ziemlich sicher... 
to perform <br>achieve <br>accomplish	leisten <br>schaffen <br>auftreten Wir schaffen es. <br>Sie sind in USA aufgetreten. [performers] 
to purchase <br>acquire 	erwerben 
to activate	aktivieren 
to appear, seem, shine <br>show up	scheinen, erscheinen 
to be, <br>find oneself	befinden 
to ask	fragen Ich frage dich , und ich antworte dir !<br> 
the elite	die Elite -n 
to be	sein 
to bend <br>turn corner [left/right]	biegen <br>abbiegen Biege links ab! = Turn left! [sing.imperative] 
to blush <br>become red in colour	erröten 
to book, <br>reserve	buchen <br>reservieren 
to bring	bringen 
to build	bauen 
to burn	brennen 
to buy, shop	shoppen, <br>kaufen, <br>einkaufen 
to calculate, charge	berechnen 
to call	rufen 
to call on telephone	telefonieren <br>anrufen 
to be able, can	können 
to close	schließen <br>abschließen <br>zumachen 
to collect, gather, get	sammeln <br>kassieren 
to come	kommen 
to compare	vergleichen 
to comply with <br>pay attention to <br>follow [the rules]	beachten 
to concern, effect, apply to..	betreffen <br>angehen 
to confirm	bestätigen 
to consider	überlegen<br>berücksichtigen 
to cost [money] 	kosten Das kostet 20 €. 
to count	zählen eins <br>zwei <br>drei <br>vier <br>fünf <br>sechs <br>sieben <br>acht <br>neun <br>zehn<br>elf <br>zwölf <br>dreizehn <br>vierzehn <br>fünfzehn <br>sechzehn <br>siebzehn <br>achtzehn <br>neunzehn <br>zwanzig, dreißig, vierzig, fünfzig 
to decide	entscheiden<br>beschließen 
to define	definieren 
to deliver	liefen, <br>bringen Ich bringe Milch. 
to develop, evolve	entwickeln 
to tidy up, collect the remaining...	aufräumen 
to discover	entdecken 
to try on [clothes]	anprobieren 
to do	tun 
to drive, ride	fahren Er fährt mich zum Arzt.<br><br>Auto fahren...<br>Rad fahren... [nicht reiten!]<br>Pferd reiten... 
to earn, deserve	verdienen <br /> 
to eat	essen [people] <br>fressen [animals] 
to elect	wählen 
to enable, make possible	ermöglichen 
to ensure, guarantee	gewährleisten <br>garantieren 
to enter in document <br>sign in	eintragen 
to entitle, qualify	berechtigen<br>qualifizieren 
to establish	etablieren<br>grunden 
to evaluate	bewerten 
to examine	untersuchen 
to exist	existieren 
to exist, consist, persist	bestehen Wasser besteht aus Wasserstoff und Sauerstoff. <br>Die Wohnung besteht aus fünf Zimmern, Küche und Bad. 
to expect	erwarten 
to experience, <br>find out	erfahren, <br>erleben 
to expire, wear out, <br>to drain a liquid 	ablaufen 
to explain	erklären 
to extend, expand	erweitern 
to fall	fallen 
to fill	füllen 
to find	finden 
to flatter, <br>sweet talk, <br>suck up to s.o.	schmeicheln So eine Schmeichelei ! <br>Du brauchst mir gar nicht so zu schmeicheln ! 
to forget	vergessen 
to get, receive	bekommen 
to give	geben 
to give up/in <br>abandon	aufgeben 
to go	gehen Geh! = Go! [sing.imperative] 
to handle, act, treat	handeln, behandeln Mach jetzt! = Act now! [sing.imperative] <br>Das Unfallopfer wurde vom Notarzt behandelt. 
to hang	hangen 
to happen, occur	geschehen <br>passieren<br>erfolgen <br>stattfinden <br>vorkommen <br>ereignen Gern geschehen = You're welcome ! 
to have	haben 
to hear	hören 
to hold	halten 
to improve	bessern <br>verbessern 
to raise, <br>increase	erhöhen 
to increase, enlarge	vergrößern 
to inform	informieren 
to inquire	nachfragen 
to install	installieren 
to interest, <br>be concerned with	interessieren Er ist an dir interessiert. <br>Er interessiert sich für dich . 
to introduce <br>imagine 	vorstellen = introduce <br>sich etwas vorstellen = imagine Sie stellte ihren Mann vor.<br>So hatte ich mir das nicht vorgestellt. 
to investigate	ermitteln 
to keep, retain	behalten 
to kick, step	treten 
to lay, be located	liegen 
to lead	führen 
to learn	lernen 
to leave	verlassen 
to lend, borrow	leihen 
to let	lassen Lass mich in Ruhe ! = Back off ! <br>[sing.imperative] 
to like	mögen Ich mag dich nicht mehr! <br>Ich möchte jetzt nach Hause! 
to load	laden 
to look	schauen<br>anschauen Ich werde mir das anschauen. 
to lose	verlieren 
to make	machen 
pretty	hübsch 
to mark	markieren 
to may, <br>to be permitted/allowed to	dürfen Ich darf = I may<br>Ich dürfe = I am allowed to 
to mean	meinen <br>bedeuten 
to measure, compete	messen 
to mediate, <br>broker	vermitteln 
to meet	treffen, begegnen 
to fullfill <br>to comply with <br>meet	erfüllen 
to mourn, grieve	trauern 
to move	bewegen 
to have to <br>must	müssen 
to need, require	brauchen<br>benötigen 
to notice	merken 
to reflect, <br>think about, <br>consider 	reflektieren <br>nachdenken, überlegen<br>erwägen Erwäge es = Consider it. 
to offer	bieten, anbieten 
to disperse 	auflösen 
to paint	malen <br>anstreichen 
to participate	teilnehmen 
to pay	zahlen <br>bezahlen 
to play	spielen 
to please, be happy<br>to look forward to	freuen ich freue mich über... = be happy about<br>ich freue mich auf... = look forward to 
to pray	beten 
to prefer	bevorzugen 
to print, <br>press, push 	drucken <br>drücken Die Zeitung drucken.<br>Den Knopf drücken. 
to prevent, <br>avert	verhindern <br>vorbeugen 
to promote, support	förden 
to protect, defend, safeguard	schützen <br>verteidigen <br>wahren Ich schütze dich vor (etwas) 
to provide, <br>take care, <br>look after	sorgen <br>versorgen <br>pflegen 
to publish	veröffentlichen 
to question, ask	fragen Ich frage dich, und antworte dir. 
to quote	zitieren 
to race, run	rennen, laufen 
to reach, achieve	erreichen 
to reach, hand over <br>be sufficient 	reichen 
to read	lesen 
to receive	erhalten<br>empfangen<br>bekommen 
to recognise	erkennen 
to recommend	empfehlen 
to remove	raumen <br>entfernen <br>beseitigen 
to rent,rent out	mieten vermieten 
to repeat	wiederholen 
the microwave [oven]	die Mikrowelle -n 
to pay attention to,<br>to watch out for, <br>to respect 	achten <br>Respekt zeigen Er achtet dich = he respects you 
to result in, amounts to	ergeben Zwei plus drei ergibt fünf. 
to satisfy	befriedigen<br>gunügen 
to save	sparen 
to say	sagen 
to secure	sichern 
to see	sehen 
to select, choose	auswählen 
to sell	verkaufen 
to stand s.t.<br>put, place	stellen 
to share, divide	teilen 
to should, is supposed to...	sollen 
to set, place, put, <br>to sit	setzen <br>sitzen Sie setzt sich an das Fenster [Bewegung]<br>Sie sitzt beim/am Fenster [k.Bewegung] 
